0,起点,0,,,0,0,0,0,,880,880,
1,格丁尼亚,1,600000,150000,0,0,0,0,0,800,880,0
2,公益福利,9,,,0,0,0,0,,720,880,
3,台北,1,600000,150000,0,0,0,0,0,640,880,0
4,所得税,11,,,0,0,0,0,,560,880,
5,铁路,13,2000000,400000,0,0,0,0,0,480,880,0
6,东京,2,1000000,300000,0,0,0,0,0,400,880,0
7,机会,10,,,0,0,0,0,,320,880,
8,巴塞罗那,2,1000000,300000,0,0,0,0,0,240,880,0
9,瑞典,2,1200000,400000,0,0,0,0,0,160,880,0
10,监狱,0,,,0,0,0,0,,80,880,
11,伊斯坦布尔,3,1400000,400000,0,0,0,0,0,80,800,0
12,太阳能发电厂,13,1500000,300000,0,0,0,0,0,80,720,0
13,基辅,3,1400000,400000,0,0,0,0,0,80,640,0
14,多伦多,3,1600000,600000,0,0,0,0,0,80,560,0
15,航空,13,2000000,400000,0,0,0,0,0,80,480,0
16,罗马,4,1800000,600000,0,0,0,0,0,80,400,0
17,公益福利,9,,,0,0,0,0,,80,320,
18,上海,4,1800000,600000,0,0,0,0,0,80,240,0
19,温哥华,4,2000000,700000,0,0,0,0,0,80,160,0
20,免费停车场,0,,,0,0,0,0,,80,80,
21,雪梨,5,2200000,700000,0,0,0,0,0,160,80,0
22,机会,10,,,0,0,0,0,,240,80,
23,纽约,5,2200000,700000,0,0,0,0,0,320,80,0
24,伦敦,5,2400000,800000,0,0,0,0,0,400,80,0
25,邮轮,13,2000000,400000,0,0,0,0,0,480,80,0
26,北京,6,2600000,800000,0,0,0,0,0,560,80,0
27,香港,6,2600000,800000,0,0,0,0,0,640,80,0
28,风力发电厂,13,1500000,300000,0,0,0,0,0,720,80,0
29,耶路撒冷,6,2800000,950000,0,0,0,0,0,800,80,0
30,入狱,0,,,0,0,0,0,,880,80,
31,巴黎,7,3000000,950000,0,0,0,0,0,880,160,0
32,贝尔格莱德,7,3000000,950000,0,0,0,0,0,880,240,0
33,公益福利,9,,,0,0,0,0,,880,320,
34,开普敦,7,3200000,1050000,0,0,0,0,0,880,400,0
35,机会,10,,,0,0,0,0,,880,480,
36,太空船,13,2000000,400000,0,0,0,0,0,880,560,0
37,里加,8,3500000,1050000,0,0,0,0,0,880,640,0
38,超级税,11,,,0,0,0,0,,880,720,
39,蒙特利尔,8,4000000,1400000,0,0,0,0,0,880,800,0
